entity,type,degree,degree_centrality,betweenness,community_id
José Núñez,PER,10,0.03067484662576687,0.00020790148208056484,3
UMD,ORG,8,0.024539877300613498,0.00015347612051358443,1
Coronel Monzón,PER,8,0.024539877300613498,0.00015272798558339155,3
Falange Española,ORG,12,0.03680981595092025,0.00012688905945538166,1
Movimiento Comunista,ORG,12,0.03680981595092025,0.00012688905945538166,1
Herri Batasuna,ORG,10,0.03067484662576687,0.00010533771381762235,1
Carmela García Moreno,PER,8,0.024539877300613498,9.794000758417256e-05,1
Partido Nacional Independiente,ORG,4,0.012269938650306749,5.1478078601100886e-05,1
Alfonso Guerra,PER,4,0.012269938650306749,3.2140299660915406e-05,2
Pepe Cassinello,PER,4,0.012269938650306749,3.077478006629573e-05,1
José Arregui,PER,16,0.03680981595092025,2.9502164084123563e-05,1
Empresa Nacional Bazán,ORG,4,0.012269938650306749,2.589543500060146e-05,1
Guillermo Estévez Boero,PER,4,0.012269938650306749,0.0,1
